predictor,l2,pearson_delta,error_rel_to_mean,provenance
knn_coexpr_k25,0.09542639553546906,0.4657321075598399,0.9519177950141856,CLEAN
mean_global,0.10024646669626236,0.38139504194259644,1.0,CLEAN
ridge_embed,0.10764101644357045,0.37523528933525085,1.0737636945321265,CLEAN
