predictor,l2,pearson_delta,error_rel_to_mean,provenance
knn_coexpr_k25,0.11565651496251424,0.48137353857358295,0.972022706311011,CLEAN
mean_global,0.11898540457089742,0.45007655024528503,1.0,CLEAN
ridge_embed,0.13432123263676962,0.3757271965344747,1.1288883129924927,CLEAN
