predictor,l2,l2_sd,pearson_delta,error_rel_to_mean,provenance
mean_condition,0.1438387781381607,1.5622785594560094e-06,0.2963372468948364,1.0,CLEAN
ridge_embed,0.14429513116677603,1.3837702678866104e-05,0.2895180583000183,1.003172670364156,CLEAN
mean_global,0.14594940344492593,1.0414124376663286e-06,0.2510892351468404,1.0146735486360843,CLEAN
knn_coexpr_k25,0.14692852894465128,1.2826864968734742e-05,0.2520681420962016,1.0214806524810909,CLEAN
no_change,0.15076045195261636,8.603189428509036e-09,,1.048121055420863,CLEAN
mlp_decoder,0.1598088095585505,1.756069024214976e-05,0.13821332156658173,1.1110273017270085,CLEAN
