predictor,l2,pearson_delta,error_rel_to_mean,provenance
mean_global,0.09962326288223267,0.5119399825731913,1.0,CLEAN
knn_coexpr_k25,0.10070505241552989,0.5083837310473124,1.0108588044799942,CLEAN
ridge_embed,0.11632893731196721,0.4068237642447154,1.167688489077925,CLEAN
