dst,target,uplift_reliability,rel_ci_lo,rel_ci_hi,uplift_magnitude,rel_frac_pos
Stim48hr,donor,0.035032918572497,0.0085730536828506,0.0665192516861737,-0.0138502992668557,0.992
Stim48hr,guide,0.0068701100109612,0.0020722951294431,0.0108554769048889,-0.0080348604003782,1.0
Stim8hr,donor,0.0531470065680926,0.014617479706596,0.0834310384841907,-0.0099225792065389,0.9975
Stim8hr,guide,0.0079416465428071,0.0029607782940166,0.0129099690198453,-0.0063977001283058,0.999
