predictor,error_rel_to_mean,ci_lo,ci_hi,ci_crosses_null
geneformer_knn,1.0697515357959644,1.0678632030259534,1.0716523746301234,False
mean_global,1.0643035464848059,1.0621967974971285,1.066542855915786,False
scgpt_knn,1.0629812599208532,1.0610761405985742,1.0648370722502827,False
knn_coexpr_k25,1.0629123735103034,1.0611282704646336,1.0647203664516185,False
gene2vec_knn,1.0623507738606874,1.0604602647756864,1.064120625331607,False
geneformer_ridge,1.0304329164075259,1.0291808045944506,1.031768555075135,False
gene2vec_ridge,1.0192719770595156,1.0182440692474222,1.0203518260906936,False
ridge_embed,1.0096909697120957,1.0089068239991805,1.0105213053887594,False
scgpt_ridge,1.0052931260685538,1.0045412148453023,1.006038865206398,False
