predictor,metric,mean,sd
mean_condition,spearman_est,0.09802785055166523,0.003084357358254858
mean_condition,spearman_rand,-0.004116507042584334,0.00972275198598694
mean_condition,spearman_labelshuffle,0.0062365886607056,0.004828376861124137
ridge_embed,spearman_est,0.1472778536548869,0.0028094482341587987
ridge_embed,spearman_rand,-0.009591057729550233,0.009561943654726797
ridge_embed,spearman_labelshuffle,0.017680808690930135,0.00599088091118022
knn_coexpr_k25,spearman_est,0.21511962486095884,0.0012048093114372105
knn_coexpr_k25,spearman_rand,-0.0011723351539192327,0.01405209632672803
knn_coexpr_k25,spearman_labelshuffle,0.004547432953720767,0.01675487576270338
