rho,f_noise,routing_gain,oracle_headroom,frac_captured,analytic_frac
0.0,0.0,0.6752456366396817,1.1842942082533046,0.5699125125685617,0.36
0.0,0.03958333333333333,0.6588367953184705,1.1748424852396333,0.5607614805805455,0.3457499999999999
0.0,0.07916666666666666,0.6203339152094646,1.165986547839423,0.5319872639142246,0.33149999999999996
0.0,0.11875,0.613344031076073,1.1706027779140764,0.5237338673303481,0.3172499999999999
0.0,0.15833333333333333,0.6078703935035749,1.1797865762240844,0.5152262886806789,0.30299999999999994
0.0,0.19791666666666666,0.5809440772205153,1.1632298709322153,0.49939156273978486,0.28874999999999995
0.0,0.2375,0.5868635965419595,1.185850619391335,0.4949400329482352,0.2744999999999999
0.0,0.27708333333333335,0.5558691328852775,1.173274125841152,0.473774022687161,0.26025
0.0,0.31666666666666665,0.5420103329155346,1.1889655270421011,0.45583171253685656,0.246
0.0,0.35624999999999996,0.5085682197814275,1.1767175172064668,0.43219819740030313,0.23174999999999998
0.0,0.3958333333333333,0.5156931635379103,1.1837128037729419,0.435664083080739,0.21750000000000003
0.0,0.4354166666666667,0.48546071322115475,1.1688389789813987,0.415268155222096,0.20325
0.0,0.475,0.4675852228910633,1.1836328566388536,0.3950339634939062,0.189
0.0,0.5145833333333333,0.43459987622066637,1.1731216450223156,0.37032640811918344,0.17475000000000002
0.0,0.5541666666666667,0.42574079205695475,1.193005838874175,0.35676106605819485,0.16049999999999995
0.0,0.59375,0.373100002689376,1.1809787791648312,0.3156930730006284,0.14624999999999996
0.0,0.6333333333333333,0.36467522072908337,1.1804505984970506,0.3089428050014898,0.132
0.0,0.6729166666666666,0.34171290620869815,1.1723007122735598,0.2913526883209786,0.11775000000000004
0.0,0.7124999999999999,0.32057560415336067,1.1765170301204577,0.27247264543523414,0.10350000000000005
0.0,0.7520833333333333,0.2942647762125909,1.178487363861982,0.2496323521481473,0.08925
0.0,0.7916666666666666,0.2506528235064555,1.1780511256083734,0.2127029688750474,0.07499999999999998
0.0,0.8312499999999999,0.2217172932909015,1.180401076010958,0.1876482533180648,0.060750000000000026
0.0,0.8708333333333333,0.18543778721000148,1.1839174627212004,0.1565602777207583,0.04649999999999999
0.0,0.9104166666666667,0.12057730864449083,1.1643106435827404,0.10363907497922066,0.03225
0.0,0.95,0.06951400016503793,1.1729564426544299,0.058604568466020523,0.018000000000000016
0.03958333333333333,0.0,0.639474994541222,1.152093998257736,0.5548673795809506,0.35280306121120886
0.03958333333333333,0.03958333333333333,0.6147765033635636,1.137358698025842,0.5405122431608659,0.33883794003826506
0.03958333333333333,0.07916666666666666,0.5938140778706044,1.1389763345218384,0.5214028145739399,0.3248728188653215
0.03958333333333333,0.11875,0.6078198205469733,1.1578685755920548,0.5247212362107141,0.31090769769237775
0.03958333333333333,0.15833333333333333,0.591775821105227,1.1558047011357175,0.5120598357908372,0.29694257651943406
0.03958333333333333,0.19791666666666666,0.5445132793435951,1.1318053041455702,0.48098569393655094,0.2829774553464904
0.03958333333333333,0.2375,0.5322298182304802,1.14425387932436,0.46495178903447787,0.2690123341735467
