quantity,estimate,ci_lo,ci_hi
raw_oracle_headroom,0.08190639452133941,0.08101495687326264,0.08282620054266325
debiased_headroom_above_floor,0.019784078932166826,0.015070742135166465,0.024767474225908925
selection_bias_fraction,0.7584550138266384,0.6993969075170071,0.8151693279439278
oracle_below_floor_fraction,0.5767102319557282,0.571234398916755,0.5819211409395972
