dataset,n,M,raw_rho,model_specific_rho,frac_variance_shared,corr_shared_vs_oracle,artifact_verdict
Gladstone_CD4,33983,10,0.9277672375163127,0.16182749364798132,0.9343751081575393,0.984054322740346,shared-difficulty-dominated
Replogle_K562,213,3,0.7918852310655847,0.41523534981370797,0.8616490947614556,0.980943836310355,shared-difficulty-dominated
Norman_K562,102,3,0.9113657665142778,0.380515219208658,0.9410468873349371,0.9864152785497355,shared-difficulty-dominated
Adamson_K562,88,3,0.462319303141568,0.3201773459598132,0.6080682041968187,0.8848998836583322,shared-difficulty-dominated
