pert,mean_global_err,ridge_embed_err,knn_coexpr_k25_err,oracle_err,best_fixed_err
AARS,0.407971719900767,0.3410412867863973,0.49939395984013873,0.3410412867863973,0.49939395984013873
ABCE1,0.26740849018096924,0.5746039152145386,0.22879521052042642,0.22879521052042642,0.22879521052042642
ACTB,0.8258426586786906,0.9776020050048828,0.8596196174621582,0.8258426586786906,0.8596196174621582
AHCTF1,0.6534854173660278,0.8591014742851257,0.7035983800888062,0.6534854173660278,0.7035983800888062
AKIRIN2,0.64159095287323,0.6548891464869181,0.6518547137578329,0.64159095287323,0.6518547137578329
ALG13,0.6983000834782919,0.8575482964515686,0.6852805614471436,0.6852805614471436,0.6852805614471436
ALG2,0.6936613718668619,0.6446707248687744,0.7590256730715433,0.6446707248687744,0.7590256730715433
ANKRD11,1.1111733516057332,1.1651875178019206,1.1938733259836833,1.1111733516057332,1.1938733259836833
ARGLU1,1.0373894770940144,1.042870044708252,1.0305767059326172,1.0305767059326172,1.0305767059326172
ATF5,0.29737802346547443,0.888211747010549,0.41846297184626263,0.29737802346547443,0.41846297184626263
ATP6AP1,0.49391742547353107,0.770711084206899,0.47803235054016113,0.47803235054016113,0.47803235054016113
ATP6V0B,0.6107784112294515,1.02336851755778,0.653373638788859,0.6107784112294515,0.653373638788859
ATP6V1B2,0.38612963755925495,0.6803781588872274,0.4478912353515625,0.38612963755925495,0.4478912353515625
BANP,0.7790398200352987,0.9355068802833557,0.8130847613016764,0.7790398200352987,0.8130847613016764
BDP1,0.2966851194699605,0.4954527219136556,0.43038006623586017,0.2966851194699605,0.43038006623586017
BRIX1,0.28446964422861737,0.5655856927235922,0.33601274092992145,0.28446964422861737,0.33601274092992145
CASP8AP2,0.6250014702479044,0.41001057624816895,0.3957511782646179,0.3957511782646179,0.3957511782646179
CBLL1,0.8201362689336141,0.8622260292371114,0.799482266108195,0.799482266108195,0.799482266108195
CCDC174,0.44210092226664227,0.6475416223208109,0.4581486980120341,0.44210092226664227,0.4581486980120341
CCDC59,0.7638925115267435,0.6703815460205078,0.6933370431264242,0.6703815460205078,0.6933370431264242
CCDC84,0.5122091968854269,0.9195899963378906,0.5617612600326538,0.5122091968854269,0.5617612600326538
CD3EAP,0.5224301417668661,0.42550575733184814,0.38063116868336994,0.38063116868336994,0.38063116868336994
CDC6,0.360934058825175,0.25286006927490234,0.19461490710576376,0.19461490710576376,0.19461490710576376
CDK1,0.26087458928426105,0.39373238881429035,0.23426767190297446,0.23426767190297446,0.23426767190297446
CENPC,0.27666759490966797,0.5738497773806254,0.2668948173522949,0.2668948173522949,0.2668948173522949
CENPE,0.48695921897888184,0.5975070397059122,0.4874873956044515,0.48695921897888184,0.4874873956044515
CENPK,0.4261197845141093,0.6789300044377645,0.5591543714205424,0.4261197845141093,0.5591543714205424
CEP192,0.36641178528467816,0.5541918079058329,0.38799579938252765,0.36641178528467816,0.38799579938252765
CHAF1A,0.635877251625061,0.45680854717890423,0.39876959721247357,0.39876959721247357,0.39876959721247357
CHAF1B,0.5638757944107056,0.4413591225941976,0.36398470401763916,0.36398470401763916,0.36398470401763916
CHERP,0.4932103951772054,0.7652751207351685,0.5453035632769266,0.4932103951772054,0.5453035632769266
