comparison,mean_delta_aurc,ci_lo,ci_hi,boot_p_value,n_boot
vs_magnitude,0.0031018679279049863,0.002330048957771888,0.003872705212255658,0.0,2000
vs_similarity,0.009273790858538557,0.008055550508857484,0.010505586589512034,0.0,2000
