predictor,n_seeds,conformal_target,ece_raw,ece_raw_ci95,ece_isotonic,ece_isotonic_ci95,conformal_coverage,conformal_coverage_ci95,conformal_interval_width,conformal_interval_width_ci95
mean_condition,3,0.9,0.007592188409981818,0.0006606608828966576,0.0027750863503618307,0.0006423841160482808,0.9003032522690747,0.0008504251077703204,0.22710252920786542,0.000408360165111677
knn_coexpr_k25,3,0.9,0.0049895101123898005,0.0005167304599999771,0.0022574308429940374,0.00027251091854856084,0.9018694233583003,0.0009149231341852364,0.18442488431930548,0.001209780247170701
