group,gain_share,aurc_drop,delta_vs_full
predicted_magnitude,0.02749049373840056,0.8706945882271429,-0.00011259247062789246
source_baseline,0.012790602704205302,0.8710930565795508,0.0002858758817800844
dest_baseline,0.013062912069745213,0.8709564183167082,0.0001492376189374811
transfer_pair,0.20113094219018784,0.8747393878702442,0.003932207172473445
coexpr_embedding,0.7294567391130421,0.8703530464866114,-0.0004541342111593627
training_similarity,0.016068310184419086,0.8710134531599323,0.0002062724621615386
