fraction,spearman,spearman_sd,aurc
0.1,0.1001289195038293,0.009450824405684018,0.873267278026122
0.2,0.1038000445905925,0.002148370411134035,0.8730157719012088
0.35,0.11479423965986564,0.0060930660280489966,0.8722271738191442
0.5,0.11995640348457781,0.0020660666642265658,0.8719733966779858
0.75,0.12491568784352007,0.005746600989345304,0.8714668044809203
1.0,0.1313943325113677,0.004726046052350225,0.8710740096855938
