embedding,offdiag_mean,offdiag_max,offdiag_frac_ci_reaches_0p4,offdiag_frac_pointest_ge_0p4,k562_offdiag_mean,gladstone_diag,n_diag_defined
geneformer,0.018906694452030737,0.22938782025700377,0.16666666666666666,0.0,0.06082789127997198,0.019702659597269575,4
scgpt,-0.022541919203699908,0.10723443223443221,0.0,0.0,-0.019112386572511218,0.020001282435120712,4
gene2vec,0.004186424513197462,0.2703484178729538,0.08333333333333333,0.0,-0.0199186574280019,0.014138043194749825,4
