seed,predictor,n,spearman_std,spearman_nested,aurc_std,aurc_nested,aurc_noselect,aurc_oracle,delta_aurc_nested_minus_std,delta_spearman_nested_minus_std
42,mean_condition,67086,0.1351824707741801,0.136557303767793,0.8710667705127239,0.8709010590489146,0.8810297550912144,0.8195377518145461,-0.0001657114638092816,0.001374832993612879
42,knn_coexpr_k25,67086,0.14609096392847537,0.15033470948250155,0.9068955210816426,0.906654877879968,0.917662704361966,0.8661877374635674,-0.0002406432016746063,0.004243745554026179
43,mean_condition,67086,0.13133424559056986,0.13298077803476682,0.8710664531680534,0.8708829008771657,0.8810078667056577,0.8194923250969829,-0.00018355229088773406,0.001646532444196963
43,knn_coexpr_k25,67086,0.15128070355138729,0.1459527538067931,0.9066148655661552,0.906929487685909,0.9176376904606254,0.8662447069905052,0.0003146221197537491,-0.00532794974459419
44,mean_condition,67086,0.130745908414162,0.13601022670744636,0.8711254510443067,0.8708653748418806,0.8810228325074073,0.8195227790417426,-0.0002600762024260739,0.005264318293284359
44,knn_coexpr_k25,67086,0.15653611862051567,0.15038225231714714,0.9062978149040118,0.9067746371752308,0.9175920458152071,0.8662872363673926,0.00047682227121892407,-0.006153866303368533
