seed,predictor,r,n
42,mean_global,0.3097812687119158,88
42,ridge_embed,0.0034870205346764823,88
42,knn_coexpr_k25,0.2614737064562714,88
43,mean_global,0.0713078088126519,88
43,ridge_embed,0.09714346095593675,88
43,knn_coexpr_k25,0.29444190060230363,88
44,mean_global,0.3648339262442324,88
44,ridge_embed,0.12583212990032056,88
44,knn_coexpr_k25,0.4074530661125005,88
