predictor,spearman_est,spearman_rand,spearman_labelshuffle,aurc_est,aurc_magnitude,aurc_similarity,aurc_random_feat,aurc_oracle,aurc_noselect
mean_condition,0.132 +/- 0.003,-0.003 +/- 0.008,0.015 +/- 0.011,0.871 +/- 0.000,0.874 +/- 0.000,0.880 +/- 0.000,0.881 +/- 0.000,0.820 +/- 0.000,0.881 +/- 0.000
knn_coexpr_k25,0.151 +/- 0.006,-0.007 +/- 0.049,0.015 +/- 0.018,0.907 +/- 0.000,0.910 +/- 0.000,0.919 +/- 0.000,0.915 +/- 0.001,0.866 +/- 0.000,0.918 +/- 0.000
