seed,n,n_predictors,best_fixed,err_best_fixed,err_routed,err_oracle,oracle_headroom,routed_minus_bestfixed,boot_frac_routed_better
42,33983,10,mean_condition,0.7036486833711469,0.7123199598281901,0.6156964661641254,0.08795221720702151,0.008671276457043131,0.0
43,33983,10,mean_condition,0.7036643360089979,0.7120786126655557,0.6158185458550216,0.08784579015397631,0.008414276656557806,0.0
44,33983,10,mean_condition,0.7036752680670263,0.7124597783545835,0.6158312177554949,0.08784405031153142,0.008784510287557223,0.0
