predictor,spearman_std,spearman_nested,aurc_std,aurc_nested,delta_aurc,delta_spearman
mean_condition,0.09802785055166525,0.10218968611705825,0.8102934530697565,0.8100741718463973,-0.00021928122335930963,0.004161835565392985
knn_coexpr_k25,0.2151196248609589,0.2039078843353879,0.8536526703684851,0.8543009738303479,0.0006483034618626574,-0.011211740525570965
ridge_embed,0.14727785365488696,0.1513446835560158,0.8169257611935413,0.8167270075915329,-0.00019875360200842054,0.004066829901128823
