predictor,seed,ece_raw,ece_isotonic,conformal_coverage,conformal_interval_width
mean_condition,42,0.008263408561833899,0.0022990311749884647,0.899610252464748,0.22702774047851562
mean_condition,43,0.007202264563177789,0.0026228795385366465,0.901102075053467,0.2274949312210083
mean_condition,44,0.007310892104933767,0.0034033483375603803,0.9001974292890091,0.22678491592407232
knn_coexpr_k25,42,0.0053648520447668515,0.0024399119896795106,0.9028020727065875,0.1855105566978455
knn_coexpr_k25,43,0.0044811308763664055,0.002347900626598701,0.9013667165220032,0.1833732032775879
knn_coexpr_k25,44,0.005122547416036146,0.0019844799127039015,0.90143948084631,0.18439089298248296
