dst,target,n,k,uplift_reliability,uplift_magnitude,rel_ci_lo,rel_ci_hi,rel_frac_pos,gap_rel_minus_mag,gap_frac_pos
Stim48hr,donor,1563,156,0.03503291857249702,-0.01385029926685577,0.008573053682850676,0.06651925168617374,0.992,0.04888321783935279,0.9945
Stim48hr,guide,8685,868,0.006870110010961217,-0.008034860400378242,0.0020722951294431563,0.010855476904888984,1.0,0.014904970411339459,1.0
Stim8hr,donor,1650,165,0.05314700656809268,-0.00992257920653894,0.014617479706596073,0.08343103848419078,0.9975,0.06306958577463162,0.9895
Stim8hr,guide,8970,897,0.00794164654280717,-0.0063977001283058305,0.0029607782940166737,0.012909969019845383,0.999,0.014339346671113001,1.0
